181.90.81.108 - - "2016-01-04 00:19:09" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/282 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:19:30" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/373 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.55.103.137 - - "2016-01-04 00:19:34" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
201.255.86.188 - - "2016-01-04 00:20:57" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/365/341/1158-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
88.11.64.11 - - "2016-01-04 00:21:12" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/451/416/1497-1 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:21:07" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/373/348/1184-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.193.164.33 - - "2016-01-04 00:22:20" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
190.193.164.33 - - "2016-01-04 00:22:33" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/271 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
190.193.164.33 - - "2016-01-04 00:22:46" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/271/253/812-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
216.189.180.180 - - "2016-01-04 00:23:17" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.193.164.33 - - "2016-01-04 00:23:15" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/271/253/812-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
181.90.81.108 - - "2016-01-04 00:24:00" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/224 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:24:24" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/283 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:24:40" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/408 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
72.50.82.242 - - "2016-01-04 00:24:40" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
216.189.180.180 - - "2016-01-04 00:24:50" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/408/375/1281-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:23:30" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/360/336/1143-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.18.33.9 - - "2016-01-04 00:25:35" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
72.50.82.242 - - "2016-01-04 00:26:00" http://libros.unlp.edu.ar/index.php/unlp/catalog/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
216.189.180.180 - - "2016-01-04 00:26:09" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/408 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:26:11" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/224/200/667-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
72.50.82.242 - - "2016-01-04 00:26:33" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/224 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
72.50.82.242 - - "2016-01-04 00:26:38" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/224/200/667-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
72.50.82.242 - - "2016-01-04 00:26:49" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/224 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
72.50.82.242 - - "2016-01-04 00:26:55" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/224/200/667-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
72.50.82.242 - - "2016-01-04 00:27:13" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/224/200/667-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
181.90.81.108 - - "2016-01-04 00:27:41" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/447 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:27:48" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/169 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:28:15" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/251 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.167.67.21 - - "2016-01-04 00:28:25" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
216.189.180.180 - - "2016-01-04 00:28:29" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/251/228/747-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.18.33.9 - - "2016-01-04 00:28:42" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/276 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.167.67.21 - - "2016-01-04 00:28:55" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/237 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
186.18.33.9 - - "2016-01-04 00:28:59" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/76 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.167.67.21 - - "2016-01-04 00:29:16" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/237 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
181.167.67.21 - - "2016-01-04 00:29:31" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/237/213/706-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
216.189.180.180 - - "2016-01-04 00:29:40" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/251 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:29:52" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/282 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
200.112.243.217 - - "2016-01-04 00:29:57" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/451/416/1497-1 200 "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
216.189.180.180 - - "2016-01-04 00:30:07" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/282/264/846-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:30:23" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/443 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:30:31" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/217 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.18.33.9 - - "2016-01-04 00:30:32" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/76/58/193-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:30:56" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/362 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.18.33.9 - - "2016-01-04 00:30:57" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/276/258/828-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:31:01" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/349 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:27:12" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/283/265/849-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:31:21" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/354 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:31:26" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/305 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.193.164.33 - - "2016-01-04 00:31:41" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/271 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
181.167.67.21 - - "2016-01-04 00:31:44" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/237 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
190.193.164.33 - - "2016-01-04 00:31:48" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
186.18.33.9 - - "2016-01-04 00:32:02" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/403 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.193.164.33 - - "2016-01-04 00:32:06" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/272 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
181.167.67.21 - - "2016-01-04 00:32:13" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/242 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
186.18.33.9 - - "2016-01-04 00:32:16" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/258 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.167.67.21 - - "2016-01-04 00:32:20" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/242/219/722-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
186.18.33.9 - - "2016-01-04 00:32:44" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/62 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.18.33.9 - - "2016-01-04 00:33:14" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/258/235/768-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
24.48.254.58 - - "2016-01-04 00:33:22" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.3.9 (KHTML, like Gecko)"
186.18.33.9 - - "2016-01-04 00:33:05" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/403/370/1266-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.18.33.9 - - "2016-01-04 00:33:19" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/62/47/158-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:33:40" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/447/413/1488-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:34:54" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/235 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
186.60.25.142 - - "2016-01-04 00:34:55" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.176.43.50 - - "2016-01-04 00:33:27" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/451/416/1497-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 1stBrowser/42.0.2311.123 Safari/537.36"
190.229.33.12 - - "2016-01-04 00:36:30" http://libros.unlp.edu.ar/index.php/unlp/catalog 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
181.90.81.108 - - "2016-01-04 00:35:42" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/443/409/1476-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:36:44" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/322 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:36:54" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/322/302/984-1 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.229.33.12 - - "2016-01-04 00:37:15" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/2 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.193.164.33 - - "2016-01-04 00:37:28" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/272/254/815-1 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MANM; rv:11.0) like Gecko"
181.90.81.108 - - "2016-01-04 00:37:22" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/362/338/1149-1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.229.33.12 - - "2016-01-04 00:37:32" http://libros.unlp.edu.ar/index.php/unlp/catalog/download/2/2/10-1 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
190.229.33.12 - - "2016-01-04 00:38:44" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/2 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
216.189.180.180 - - "2016-01-04 00:38:51" http://libros.unlp.edu.ar/index.php/unlp/catalog/book/322 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
